iter	Logloss
0	0.6596768619
1	0.6035028657
2	0.5701620675
3	0.5384339418
4	0.5136847324
5	0.4896090239
6	0.4592045586
7	0.4391853129
8	0.4325266566
9	0.4181257224
10	0.3989471062
11	0.3823808708
12	0.3656809229
13	0.3547346694
14	0.3440060872
15	0.334031887
16	0.3232444617
17	0.3144576477
18	0.3062327361
19	0.2979296178
20	0.2897060893
21	0.280984183
22	0.2749224029
23	0.2679905989
24	0.2619547718
25	0.257138701
26	0.2550183054
27	0.2509263797
28	0.248461298
29	0.2432401849
30	0.2415098068
31	0.2396175759
32	0.2345404287
33	0.2295306963
34	0.225228903
35	0.2238706565
36	0.2211101473
37	0.2172264477
38	0.2162614428
39	0.2153488975
40	0.2113800421
41	0.2104217732
42	0.20961503
43	0.2088342451
44	0.2068148002
45	0.2059488472
46	0.2035897529
47	0.2029468658
48	0.2022143929
49	0.2016269056
50	0.1985359153
51	0.1963073584
52	0.1959096159
53	0.1945154536
54	0.1939511892
55	0.1933685838
56	0.190859956
57	0.1904004248
58	0.1893889349
59	0.1889610704
60	0.1884792307
61	0.1881821952
62	0.187831023
63	0.1875202615
64	0.1871697168
65	0.1868425493
66	0.186591966
67	0.1863644056
68	0.1861832145
69	0.1859901974
70	0.1840345173
71	0.183887151
72	0.1836476228
73	0.1834590877
74	0.1813630846
75	0.1811710559
76	0.1809514711
77	0.1808137276
78	0.1806631782
79	0.1795174809
80	0.1794229377
81	0.179214664
82	0.179095711
83	0.1788980551
84	0.1787532633
85	0.1786083837
86	0.178459394
87	0.1782922193
88	0.178208568
89	0.1765746327
90	0.1764695706
91	0.175364542
92	0.1752569821
93	0.1751068618
94	0.1749996374
95	0.1733725947
96	0.1732707011
97	0.173235629
98	0.1731405208
99	0.1719831902
100	0.1718917419
101	0.1717479995
102	0.1716293281
103	0.1715757114
104	0.1709880177
105	0.1709533389
106	0.1708107757
107	0.1706487211
108	0.1705350796
109	0.1704608479
110	0.1703746094
111	0.1702985017
112	0.1702474544
113	0.1701682662
114	0.1700784583
115	0.170038696
116	0.1699284984
117	0.1698367941
118	0.1689793899
119	0.1683775106
120	0.1672107593
121	0.1671632062
122	0.1671359565
123	0.166490001
124	0.1664277355
125	0.1663962971
126	0.1663589749
127	0.1662915028
128	0.1662447403
129	0.1661548635
130	0.1660900714
131	0.1660043938
132	0.1659656828
133	0.1659113422
134	0.1658272793
135	0.1657781208
136	0.1647950346
137	0.1647152188
138	0.1646888918
139	0.1646438817
140	0.1646010076
141	0.1645506944
142	0.1644850482
143	0.1644157554
144	0.1643350743
145	0.1642755016
146	0.1639144804
147	0.1638445781
148	0.1631527025
149	0.1631067661
150	0.1630506964
151	0.1625741333
152	0.162541098
153	0.1624866691
154	0.1624452714
155	0.162393323
156	0.1623383255
157	0.1623194648
158	0.1622778623
159	0.1622298874
160	0.1617439367
161	0.1617248062
162	0.1617012803
163	0.1616777186
164	0.1616045969
165	0.1615801149
166	0.1615413993
167	0.161491536
168	0.1614698453
169	0.1614268546
170	0.1613921545
171	0.1613401094
172	0.1613068851
173	0.1612763376
174	0.1612636629
175	0.1612338959
176	0.1612052301
177	0.1611565945
178	0.1611430494
179	0.1600050618
180	0.1599740556
181	0.1599424153
182	0.1599326372
183	0.1598865696
184	0.1598464355
185	0.1598257856
186	0.1597948876
187	0.1590423743
188	0.1589947575
189	0.1589852019
190	0.1589451193
191	0.158928177
192	0.1582721443
193	0.158214277
194	0.1581895174
195	0.158163092
196	0.1581420531
197	0.1580963229
198	0.1580743711
199	0.1580525134
200	0.1580265006
201	0.1580125094
202	0.1579963119
203	0.1579453075
204	0.1576111749
205	0.1575931074
206	0.1575457201
207	0.1574962495
208	0.1574894536
209	0.1574654669
210	0.1574417014
211	0.1574106077
212	0.1573868141
213	0.1573637716
214	0.157344864
215	0.1573161013
216	0.1572899555
217	0.1572788558
218	0.1572550255
219	0.1572297443
220	0.1571954662
221	0.1571668978
222	0.1571431413
223	0.1571074817
224	0.1570927443
225	0.1570733897
226	0.1570638438
227	0.1570430661
228	0.1570183776
229	0.1569940052
230	0.1564871426
231	0.1559576778
232	0.1559372861
233	0.1559093717
234	0.1558351856
235	0.1557983394
236	0.1557766936
237	0.1557561093
238	0.1557134704
239	0.1556899818
240	0.1556697641
241	0.155652971
242	0.1556251655
243	0.1556120121
244	0.1555866901
245	0.1555621981
246	0.1551946331
247	0.1551726364
248	0.155155687
249	0.1551411606
250	0.155119224
251	0.1550617122
252	0.1550385989
253	0.1550106336
254	0.1549997131
255	0.154981203
256	0.1549483049
257	0.154923588
258	0.1548861091
259	0.154855741
260	0.1548312351
261	0.1546934789
262	0.1540153164
263	0.1539868491
264	0.1539603213
265	0.1539350354
266	0.1531377501
267	0.1531190379
268	0.1530935393
269	0.1530691202
270	0.1530345304
271	0.1530090771
272	0.1529843843
273	0.152948367
274	0.1529270054
275	0.1528903332
276	0.1522702092
277	0.1522494019
278	0.1516757633
279	0.1516514464
280	0.1516045786
281	0.1515816313
282	0.1515484347
283	0.1515235685
284	0.1514984534
285	0.1509782817
286	0.1503058446
287	0.1502780796
288	0.1502436968
289	0.150213268
290	0.1497715683
291	0.1493037186
292	0.1488711753
293	0.1485544403
