iter	Logloss
0	0.6783085781
1	0.664575657
2	0.6518681818
3	0.6401656708
4	0.6314827926
5	0.6199045023
6	0.6134169138
7	0.6064788648
8	0.598101146
9	0.5902671991
10	0.5845048102
11	0.5769289541
12	0.5697577386
13	0.5647736364
14	0.5574195145
15	0.5536560881
16	0.5478534374
17	0.5425170519
18	0.5376041881
19	0.5343873295
20	0.5313643144
21	0.5283797218
22	0.5247661196
23	0.5205402718
24	0.5157329288
25	0.5127600408
26	0.5093674154
27	0.5056143753
28	0.5012710825
29	0.4989227758
30	0.497116414
31	0.4946950745
32	0.4928798
33	0.4908027997
34	0.4887029093
35	0.484934007
36	0.4828004475
37	0.4809243051
38	0.4767067069
39	0.4753179084
40	0.4734797152
41	0.4687326647
42	0.4670893416
43	0.4651078286
44	0.4611866429
45	0.4578316499
46	0.453931635
47	0.4526540179
48	0.4514036866
49	0.4502033072
50	0.4490500257
51	0.4455301916
52	0.4433495473
53	0.4422379611
54	0.4412988716
55	0.4386123361
56	0.4357392715
57	0.43504736
58	0.4325515275
59	0.4315016083
60	0.4306241622
61	0.4298758725
62	0.4285057475
63	0.4275905463
64	0.4259497691
65	0.4243920628
66	0.4237376216
67	0.421734323
68	0.4206176045
69	0.4199852507
70	0.4177752334
71	0.4168538504
72	0.4162352568
73	0.4156264123
74	0.4134144193
75	0.412762276
76	0.4121797624
77	0.4117261964
78	0.4112529863
79	0.410560033
80	0.4094993415
81	0.4090321844
82	0.4084158405
83	0.4072910118
84	0.40689759
85	0.4062327977
86	0.4057261764
87	0.4050704641
88	0.4045980834
89	0.4039676052
90	0.4028593353
91	0.4024464975
92	0.4018117061
93	0.4005946142
94	0.4001582458
95	0.3995769079
96	0.3991722152
97	0.3986324046
98	0.398116303
99	0.3976868358
100	0.397219417
101	0.3968407095
102	0.3964454022
103	0.395654043
104	0.3950173566
105	0.3943384683
106	0.3939652317
107	0.392650389
108	0.3923571368
109	0.3907900861
110	0.3902827821
111	0.389823091
112	0.3895231476
113	0.3891315658
114	0.3887590318
115	0.3882477174
116	0.387788069
117	0.3874660543
118	0.3870916317
119	0.3863630071
120	0.3860627601
121	0.3856017621
122	0.3849601335
123	0.384672064
124	0.3841938341
125	0.3837431673
126	0.3824025076
127	0.3820342054
128	0.381597479
129	0.3810286095
130	0.3806912851
131	0.3803718383
132	0.3800016519
133	0.3796907976
134	0.3793954389
135	0.3790750667
136	0.3786375902
137	0.3778621961
138	0.3774495616
139	0.3767758761
140	0.3765968927
141	0.3762807202
142	0.3759756347
143	0.3755431162
144	0.3752903886
145	0.3748704654
146	0.3740558739
147	0.3737764294
148	0.3734504918
149	0.3730215473
150	0.3727688648
151	0.3724277177
152	0.3721177271
153	0.3717301178
154	0.371234824
155	0.3709617525
