iter	Passed	Remaining
0	139	139500
1	142	71064
2	145	48294
3	148	36967
4	151	30210
5	155	25679
6	158	22439
7	161	20025
8	164	18104
9	167	16569
10	170	15337
11	173	14272
12	176	13386
13	179	12615
14	181	11933
15	184	11348
16	187	10839
17	190	10380
18	192	9963
19	195	9580
20	198	9254
21	201	8944
22	203	8661
23	206	8395
24	209	8151
25	212	7944
26	215	7749
27	217	7561
28	220	7381
29	223	7221
30	226	7070
31	229	6937
32	232	6809
33	235	6690
34	238	6574
35	241	6454
36	243	6346
37	246	6252
38	249	6148
39	252	6052
40	254	5961
41	257	5877
42	260	5804
43	263	5731
44	266	5657
45	269	5588
46	272	5516
47	274	5449
48	277	5392
49	280	5335
50	283	5279
51	286	5220
52	289	5164
53	291	5110
54	294	5066
55	297	5019
56	300	4968
57	303	4924
58	305	4877
59	308	4837
60	311	4800
61	314	4764
62	317	4729
63	320	4689
64	323	4651
65	326	4616
66	329	4586
67	331	4549
68	335	4520
69	337	4487
70	340	4451
71	343	4423
72	346	4401
73	349	4373
74	351	4340
75	354	4314
76	358	4292
77	361	4268
78	364	4249
79	367	4226
80	370	4199
81	372	4175
82	376	4155
83	379	4133
84	382	4112
85	384	4089
86	387	4066
87	390	4047
88	393	4026
89	396	4004
90	398	3984
91	401	3964
92	404	3944
93	407	3925
94	410	3912
95	413	3896
96	416	3878
97	419	3859
98	422	3843
99	425	3831
100	428	3813
101	431	3797
102	434	3780
103	437	3766
104	440	3753
105	443	3737
106	446	3724
107	449	3709
108	452	3695
109	455	3681
110	458	3669
111	461	3655
112	463	3641
113	466	3627
114	469	3613
115	472	3602
116	475	3590
117	478	3577
118	481	3564
119	484	3552
120	487	3540
121	490	3528
122	493	3516
123	496	3504
124	499	3494
125	502	3484
126	505	3473
127	508	3462
128	511	3451
129	514	3440
130	517	3430
131	520	3423
132	523	3410
133	526	3401
134	530	3400
135	533	3391
136	537	3383
137	540	3376
138	544	3373
139	548	3367
140	551	3357
141	554	3349
142	557	3340
143	561	3337
144	564	3328
145	567	3319
146	570	3311
147	574	3307
148	578	3303
149	581	3295
150	585	3289
151	588	3283
152	591	3276
153	594	3266
154	597	3257
155	600	3250
156	604	3245
157	608	3240
158	611	3231
159	613	3223
160	618	3221
161	621	3215
162	624	3208
163	627	3199
164	630	3191
165	633	3185
166	637	3177
167	640	3171
168	643	3163
169	646	3156
170	649	3150
171	652	3142
172	656	3137
173	659	3130
174	662	3123
175	666	3118
176	669	3111
177	672	3106
178	675	3098
179	678	3090
180	682	3086
181	684	3078
182	687	3071
183	690	3063
184	693	3056
185	697	3050
186	700	3043
187	703	3038
188	706	3032
189	710	3028
190	713	3020
191	716	3014
192	719	3010
193	723	3003
194	726	2997
195	729	2992
196	733	2989
197	736	2983
198	739	2976
199	742	2971
200	745	2965
201	749	2961
202	753	2956
203	756	2950
204	759	2944
205	762	2937
206	766	2935
207	769	2930
208	772	2923
209	775	2918
210	779	2913
211	782	2909
212	785	2903
213	788	2896
214	791	2891
215	795	2886
216	798	2881
217	801	2875
218	804	2868
219	807	2864
220	811	2859
221	815	2856
222	818	2850
223	820	2843
224	824	2840
225	827	2833
226	831	2830
227	834	2824
228	836	2817
229	841	2816
230	844	2811
231	848	2808
232	851	2802
233	854	2797
234	857	2792
235	861	2787
236	863	2780
237	866	2775
238	869	2769
239	872	2764
240	875	2758
241	879	2753
242	882	2748
243	885	2742
244	888	2737
245	891	2730
246	894	2725
247	896	2719
248	899	2713
249	902	2707
250	905	2702
251	908	2696
252	911	2691
253	914	2685
254	917	2679
255	919	2673
256	922	2667
257	925	2661
258	928	2656
259	931	2651
260	934	2646
261	938	2643
262	941	2638
263	944	2633
264	947	2627
265	950	2621
266	953	2616
267	956	2611
268	959	2606
269	961	2600
270	964	2595
271	968	2590
272	971	2586
273	974	2581
274	976	2575
275	979	2570
276	982	2564
277	985	2560
278	988	2555
279	991	2550
280	995	2546
281	998	2541
282	1001	2537
283	1004	2533
284	1008	2529
285	1011	2525
286	1014	2520
287	1018	2517
288	1021	2512
289	1024	2507
290	1027	2502
291	1030	2497
292	1033	2493
293	1036	2488
294	1039	2484
295	1042	2479
296	1045	2473
297	1048	2469
298	1051	2465
299	1054	2460
300	1057	2455
301	1060	2451
302	1063	2446
303	1066	2442
304	1069	2436
305	1072	2432
306	1075	2427
307	1078	2422
308	1081	2418
309	1084	2413
310	1087	2408
311	1090	2403
312	1092	2398
313	1096	2394
314	1099	2391
315	1102	2386
316	1105	2381
317	1108	2376
318	1111	2372
319	1114	2368
320	1117	2363
321	1120	2358
322	1123	2353
323	1125	2349
324	1128	2343
325	1131	2339
326	1134	2335
327	1137	2331
328	1140	2326
329	1143	2322
330	1146	2317
331	1149	2313
332	1152	2308
333	1155	2304
334	1158	2299
335	1161	2295
336	1164	2290
337	1167	2286
338	1170	2282
339	1173	2277
340	1176	2272
341	1179	2268
342	1181	2263
343	1184	2259
344	1187	2254
345	1190	2250
346	1193	2245
347	1196	2242
348	1199	2237
349	1202	2233
350	1205	2228
351	1208	2223
352	1211	2219
353	1214	2215
354	1217	2212
355	1220	2208
356	1223	2204
357	1227	2200
358	1230	2197
359	1233	2192
360	1236	2188
361	1239	2183
362	1242	2180
363	1245	2176
364	1248	2171
365	1251	2167
366	1254	2163
367	1256	2158
368	1260	2154
369	1262	2150
370	1265	2146
371	1268	2141
372	1271	2137
373	1274	2133
374	1277	2129
375	1280	2124
376	1283	2120
377	1286	2116
378	1288	2112
379	1292	2108
380	1294	2103
381	1297	2099
382	1300	2095
383	1303	2091
384	1306	2087
385	1309	2083
386	1312	2079
387	1315	2075
388	1318	2071
389	1321	2067
390	1324	2063
391	1327	2059
392	1330	2055
393	1333	2051
394	1336	2047
395	1339	2043
396	1342	2039
397	1345	2035
398	1348	2031
399	1351	2027
400	1354	2023
401	1357	2019
402	1360	2014
403	1363	2011
404	1366	2007
405	1368	2002
406	1371	1998
407	1374	1995
408	1377	1990
409	1380	1986
410	1383	1982
411	1386	1978
412	1389	1974
413	1392	1970
414	1395	1966
415	1411	1981
416	1414	1976
417	1416	1972
418	1419	1968
419	1423	1965
420	1426	1961
421	1429	1957
422	1431	1952
423	1434	1948
424	1437	1944
425	1440	1941
426	1443	1937
427	1446	1933
428	1449	1929
429	1452	1925
430	1455	1921
431	1458	1918
432	1461	1913
433	1464	1909
434	1467	1905
435	1470	1901
436	1472	1897
437	1475	1893
438	1478	1889
439	1481	1885
440	1484	1881
441	1488	1878
442	1491	1875
443	1494	1871
444	1496	1866
445	1499	1862
446	1502	1859
447	1505	1855
448	1508	1851
449	1511	1847
450	1514	1843
451	1517	1839
452	1520	1836
453	1523	1832
454	1526	1828
455	1529	1824
456	1532	1820
457	1535	1817
458	1538	1813
459	1541	1809
460	1544	1805
461	1547	1801
462	1549	1797
463	1552	1793
464	1555	1789
465	1558	1786
466	1561	1782
467	1564	1778
468	1567	1774
469	1570	1770
470	1573	1766
471	1576	1763
472	1578	1759
473	1581	1754
474	1584	1751
475	1587	1747
476	1590	1743
477	1593	1739
478	1595	1735
479	1598	1731
480	1601	1727
481	1604	1723
482	1607	1720
483	1610	1716
484	1613	1712
485	1616	1709
486	1619	1705
487	1621	1701
488	1624	1698
489	1627	1694
490	1630	1690
491	1633	1686
492	1636	1682
493	1639	1679
494	1642	1675
495	1644	1671
496	1647	1667
497	1650	1664
498	1654	1660
499	1656	1656
500	1659	1653
501	1662	1649
502	1665	1645
503	1668	1641
504	1671	1638
505	1674	1634
506	1676	1630
507	1679	1626
508	1682	1623
509	1685	1619
510	1688	1615
511	1691	1612
512	1694	1608
513	1697	1604
514	1700	1601
515	1703	1597
516	1706	1593
517	1708	1589
518	1711	1586
519	1714	1582
520	1717	1578
521	1719	1575
522	1722	1571
523	1725	1567
524	1728	1563
525	1731	1560
526	1734	1556
527	1736	1552
528	1739	1548
529	1742	1545
530	1745	1541
531	1748	1537
532	1750	1533
533	1753	1530
534	1756	1526
535	1759	1522
536	1761	1519
537	1764	1515
538	1767	1511
539	1770	1507
540	1773	1504
541	1776	1500
542	1779	1497
543	1781	1493
544	1784	1489
545	1787	1486
546	1790	1482
547	1792	1478
548	1795	1475
549	1798	1471
550	1801	1467
551	1804	1464
552	1806	1460
553	1809	1456
554	1812	1453
555	1815	1449
556	1818	1446
557	1820	1442
558	1823	1438
559	1826	1434
560	1829	1431
561	1831	1427
562	1835	1424
563	1837	1420
564	1840	1416
565	1843	1413
566	1846	1409
567	1849	1406
568	1852	1402
569	1854	1399
570	1857	1395
571	1860	1392
572	1863	1388
573	1866	1384
574	1868	1381
575	1871	1377
576	1874	1374
577	1877	1370
578	1880	1367
579	1883	1363
580	1886	1360
581	1889	1356
582	1891	1353
583	1895	1349
584	1897	1346
585	1900	1342
586	1903	1339
587	1906	1335
588	1909	1332
589	1911	1328
590	1914	1324
591	1917	1321
592	1919	1317
593	1922	1314
594	1925	1310
595	1928	1307
596	1930	1303
597	1933	1299
598	1936	1296
599	1939	1292
600	1942	1289
601	1944	1285
602	1947	1282
603	1950	1278
604	1953	1275
605	1956	1271
606	1959	1268
607	1962	1265
608	1964	1261
609	1967	1258
610	1970	1254
611	1973	1251
612	1976	1247
613	1979	1244
614	1981	1240
615	1984	1237
616	1987	1233
617	1990	1230
618	1993	1227
619	1996	1223
620	1999	1220
621	2001	1216
622	2004	1213
623	2007	1209
624	2010	1206
625	2013	1202
626	2016	1199
627	2019	1195
628	2021	1192
629	2024	1189
630	2027	1185
631	2030	1182
632	2033	1178
633	2035	1175
634	2038	1171
635	2041	1168
636	2044	1165
637	2047	1161
638	2049	1158
639	2052	1154
640	2055	1151
641	2058	1147
642	2060	1144
643	2063	1140
644	2066	1137
645	2069	1133
646	2072	1130
647	2074	1127
648	2077	1123
649	2080	1120
650	2083	1116
651	2085	1113
652	2088	1109
653	2091	1106
654	2094	1103
655	2097	1099
656	2099	1096
657	2102	1092
658	2105	1089
659	2108	1086
660	2110	1082
661	2113	1079
662	2116	1075
663	2119	1072
664	2122	1069
665	2125	1065
666	2127	1062
667	2130	1058
668	2133	1055
669	2136	1052
670	2138	1048
671	2141	1045
672	2144	1041
673	2146	1038
674	2149	1035
675	2152	1031
676	2155	1028
677	2158	1025
678	2161	1021
679	2163	1018
680	2166	1015
681	2169	1011
682	2172	1008
683	2175	1005
684	2178	1001
685	2181	998
686	2183	994
687	2186	991
688	2189	988
689	2192	984
690	2195	981
691	2197	978
692	2200	974
693	2203	971
694	2206	968
695	2208	964
696	2211	961
697	2214	958
698	2217	954
699	2219	951
700	2222	948
701	2225	944
702	2227	941
703	2230	937
704	2233	934
705	2236	931
706	2238	927
707	2241	924
708	2244	921
709	2246	917
710	2249	914
711	2252	911
712	2255	907
713	2257	904
714	2260	901
715	2263	897
716	2266	894
717	2269	891
718	2272	888
719	2275	884
720	2278	881
721	2281	878
722	2283	875
723	2286	871
724	2289	868
725	2292	865
726	2294	861
727	2297	858
728	2301	855
729	2303	852
730	2306	848
731	2309	845
732	2312	842
733	2315	839
734	2318	835
735	2321	832
736	2323	829
737	2326	825
738	2329	822
739	2332	819
740	2335	816
741	2338	812
742	2340	809
743	2343	806
744	2346	803
745	2349	799
746	2352	796
747	2355	793
748	2358	790
749	2361	787
750	2363	783
751	2366	780
752	2369	777
753	2372	774
754	2375	770
755	2378	767
756	2381	764
757	2384	761
758	2387	757
759	2389	754
760	2392	751
761	2395	748
762	2398	744
763	2401	741
764	2403	738
765	2406	735
766	2409	732
767	2412	728
768	2415	725
769	2418	722
770	2421	719
771	2424	715
772	2427	712
773	2430	709
774	2433	706
775	2435	703
776	2438	699
777	2441	696
778	2444	693
779	2446	690
780	2449	686
781	2452	683
782	2455	680
783	2458	677
784	2461	674
785	2464	670
786	2467	667
787	2470	664
788	2473	661
789	2475	658
790	2478	654
791	2481	651
792	2484	648
793	2487	645
794	2489	642
795	2492	638
796	2495	635
797	2498	632
798	2500	629
799	2503	625
800	2506	622
801	2509	619
802	2512	616
803	2514	613
804	2517	609
805	2520	606
806	2523	603
807	2526	600
808	2529	597
809	2531	593
810	2534	590
811	2537	587
812	2540	584
813	2543	581
814	2545	577
815	2548	574
816	2551	571
817	2554	568
818	2557	565
819	2560	562
820	2563	558
821	2565	555
822	2568	552
823	2571	549
824	2574	546
825	2577	543
826	2580	539
827	2583	536
828	2585	533
829	2588	530
830	2591	527
831	2594	523
832	2597	520
833	2599	517
834	2602	514
835	2605	511
836	2608	507
837	2611	504
838	2614	501
839	2617	498
840	2620	495
841	2623	492
842	2626	489
843	2629	485
844	2632	482
845	2634	479
846	2637	476
847	2640	473
848	2643	470
849	2646	466
850	2649	463
851	2652	460
852	2655	457
853	2658	454
854	2661	451
855	2664	448
856	2667	445
857	2670	441
858	2673	438
859	2675	435
860	2678	432
861	2681	429
862	2684	426
863	2687	422
864	2690	419
865	2693	416
866	2695	413
867	2698	410
868	2701	407
869	2704	404
870	2707	400
871	2710	397
872	2712	394
873	2715	391
874	2718	388
875	2721	385
876	2724	382
877	2726	378
878	2729	375
879	2732	372
880	2734	369
881	2737	366
882	2740	363
883	2743	359
884	2745	356
885	2748	353
886	2751	350
887	2754	347
888	2757	344
889	2759	341
890	2762	337
891	2765	334
892	2768	331
893	2771	328
894	2774	325
895	2776	322
896	2779	319
897	2782	316
898	2785	312
899	2788	309
900	2791	306
901	2793	303
902	2796	300
903	2799	297
904	2802	294
905	2805	291
906	2807	287
907	2810	284
908	2813	281
909	2816	278
910	2818	275
911	2821	272
912	2823	269
913	2827	265
914	2829	262
915	2832	259
916	2835	256
917	2838	253
918	2841	250
919	2844	247
920	2847	244
921	2850	241
922	2853	238
923	2856	234
924	2858	231
925	2861	228
926	2864	225
927	2867	222
928	2870	219
929	2873	216
930	2875	213
931	2878	210
932	2881	206
933	2884	203
934	2887	200
935	2890	197
936	2893	194
937	2896	191
938	2898	188
939	2901	185
940	2904	182
941	2907	179
942	2910	175
943	2912	172
944	2915	169
945	2918	166
946	2921	163
947	2923	160
948	2926	157
949	2929	154
950	2932	151
951	2934	147
952	2937	144
953	2940	141
954	2943	138
955	2946	135
956	2949	132
957	2951	129
958	2954	126
959	2957	123
960	2959	120
961	2962	117
962	2966	113
963	2968	110
964	2971	107
965	2974	104
966	2977	101
967	2980	98
968	2984	95
969	2988	92
970	2992	89
971	2996	86
972	3000	83
973	3003	80
974	3007	77
975	3011	74
976	3015	70
977	3018	67
978	3022	64
979	3026	61
980	3030	58
981	3033	55
982	3037	52
983	3041	49
984	3045	46
985	3049	43
986	3052	40
987	3055	37
988	3058	34
989	3061	30
990	3064	27
991	3067	24
992	3069	21
993	3073	18
994	3076	15
995	3079	12
996	3082	9
997	3085	6
998	3088	3
999	3091	0
